userid,departmentid
32561874,26642958
33467145,5935335
32737033,31269816
21841656,21852449
27082059,21862056
29230669,21847878
21842488,21842950
26539679,26540595
27548624,21834274
25617214,27192353
26629878,26629879
22945594,18276021
25441060,15297641
26906305,21526433
25126661,13635594
21753268,25729971
21610427,24647801
22360683,17137163
25196710,26642121
30663673,27070080
29410603,27403410
29950932,25152224
3626297,32668883
2140615,23354013
2845416,25343882
1119105,21297272
1035749,21326192
7646005,18642122
8087573,17742313
8287746,52678312
6653744,4091252
5763594,15136899
4559615,4559584
4757373,22918271
4745783,27801143
4721831,5999955
5235849,21561250
5240458,54144497
5238893,6082861
5238909,14763363
5221365,10778993
5220945,13887012
5213128,18037911
5203395,6082861
5202244,10779282
5209985,57991687
5178136,54127574
5152055,21162832
53318645,14497815
52144247,13771609
58655013,21842477
57413167,15167945
55418985,27396610
55351993,10780176
62133318,25164820
61458513,27375139
30349529,27121019
1198682,8238787
8177753,22588069
6494310,26642704
5392089,25157813
4819535,21842813
5237149,14424285
5221953,10780260
5226392,5684848
5144850,5240234
5144883,24827871
52339234,21838834
60472266,5236543
28252215,25150463
25508838,60379272
32590416,27676235
30111095,17758123
30276023,26640779
4519107,24866136
5242101,5241911
5221452,1471820
5199400,5237530
5152065,1471820
11043757,32861949
16308224,16308225
14143095,17742705
51481332,14763282
55431626,21842906
55351631,32957507
5147213,50598615
14541072,14143298
813675,8016375
5241068,66176472
5179303,15050465
5228654,12744597
26811016,26541779
27408539,21852602
24746648,31245242
22915128,55204129
26486790,65686383
31591153,21292678
2921477,21301768
6461936,21852719
5242492,2408911
5220907,10780107
5177911,22650154
5147127,26484379
5145865,18037911
54384774,21730189
60013194,21615463
66124028,65863654
6866226,4042996
10919942,26540949
5220456,13887012
2736149,23170327
5905291,21727747
4563634,1996901
5238265,12744334
5239147,2414883
5234309,10780380
5234146,10150081
5219140,14763372
5224611,5236841
5222811,18037911
5203403,14758839
5208990,5208991
5199482,33397189
5183982,12968282
5172579,14837931
5171489,10779991
5147794,10780107
5145637,10780015
5152526,5754847
5151807,23721823
8500949,5242011
52340349,57958859
58664751,17138706
56399742,5230386
60730647,5236809
60637431,53977051
66786648,14763315
31284803,55204129
6903432,28241508
5331979,22167458
5913506,5913507
4757554,27181349
5235829,60526366
5229810,10772388
5189872,1511392
5181833,53797292
5159021,15271591
12342573,13635592
10668943,22636560
10919940,59247845
16637384,5240819
14976591,6797657
26878080,26541779
29415644,26491667
3636306,26776239
4393198,2844991
5235536,14763293
5230429,50612385
5226035,27673242
5214515,14763384
5146620,10778992
7656625,26534145
5181828,5236681
59622716,21308591
21847935,25152276
8249729,24647801
6702795,24378714
5230534,12655644
5233224,10780164
5232023,10779979
5179899,21809759
5148322,14763680
5152204,18037911
52863349,25163445
52828843,19633432
7428267,17742705
5236522,1692533
5235982,14763292
29345051,65409683
365339,28353940
5184419,5229258
67102733,25158376
26759093,26541779
25826802,28656478
762964,4807774
58639416,29645702
28178618,21308591
5240097,13016243
10498906,13635592
32554846,21285858
30796492,22647397
8249278,23354376
4748313,28533357
